index,card,v1,colors,group,icon,petitioner,respondent,altTitle,winner,term,docket,consolidated,scdb,citation,lba,oxford,timeplots,author,majority,minority,argued,decided,category,issue,legalBasis,legalIssue,overruled,overruledBy,quote,quotee,briefs,audio,transcripts,opinion,oyez,wikipedia,conlaw.us,cspan,justices,justiceIDs,dissented,recused
167,N,,,,,Helvering,Davis,,petitioner,October Term 1936,910,,1936-103,301 U.S. 619,34,,,Benjamin Cardozo,7,2,1937-05-05,1937-05-24,Federal Taxation,,Infrequently litigated statutes,"federal taxation of gifts, personal, business, or professional expenses",,,,,,,,,,,,,"Charles Hughes,Willis Van Devanter,Louis Brandeis,George Sutherland,Harlan Stone,Owen Roberts,Benjamin Cardozo",,"James McReynolds,Pierce Butler",
168,013,64,"3,5",5J,,Palko,Connecticut,,respondent,October Term 1937,135,,1937-036,302 U.S. 319,33,230,,Benjamin Cardozo,8,1,1937-11-12,1937-12-06,Criminal Procedure,Double Jeopardy,14th Amendment (due Process),double jeopardy,,Benton v. Maryland,"""The state is not attempting to wear the accused out by a multitude of…trials. It asks no more than this, that the case against him shall go on until there shall be a trial free from the corrosion of substantial legal error.""",Justice Benjamin Cardozo,,,,,"https://www.oyez.org/cases/1900-1940/302us319","https://en.wikipedia.org/wiki/Palko_v._Connecticut",,,"Charles Hughes,James McReynolds,Louis Brandeis,George Sutherland,Harlan Stone,Owen Roberts,Benjamin Cardozo,Hugo Black","75,62,66,67,70,73,74,76",Pierce Butler,
169,,,,,,South Carolina State Highway Dept.,Barnwell,,petitioner,October Term 1937,161,,1937-126,303 U.S. 177,35,,,Harlan Stone,7,0,1938-01-04,1938-02-14,Economic Activity,,State or Local Law Regulation,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",,,,,"https://lonedissent.org/briefs/featured/south-carolina-state-highway-dept-v-barnwell",,,,"https://www.oyez.org/cases/1900-1940/303us177",,,,"Charles Hughes,James McReynolds,Louis Brandeis,Pierce Butler,Harlan Stone,Owen Roberts,Hugo Black","73,62,66,67,71,74,76",,"Benjamin Cardozo,Stanley Reed"
170,,,,,,United States,Carolene Products,,petitioner,October Term 1937,640,,1937-045,304 U.S. 144,,,,Harlan Stone,6,1,1938-04-06,1938-04-25,Economic Activity,Filled Milk Act of 1923,"Article I § 8: Commerce Clause and 5th Amendment: Due Process","federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts",,,,,,,,,"https://www.oyez.org/cases/1900-1940/304us144","https://en.wikipedia.org/wiki/United_States_v._Carolene_Products_Co.","https://conlaw.us/case/united-states-v-carolene-products-1938/",,"Charles Hughes,Louis Brandeis,Pierce Butler,Harlan Stone,Owen Roberts,Hugo Black","73,62,67,71,74,76",James McReynolds,"Benjamin Cardozo,Stanley Reed"
171,079,25,5,10,,Erie Railroad Co.,Tompkins,,petitioner,October Term 1937,367,,1937-170,304 U.S. 64,35,85,,Louis Brandeis,6,2,1938-01-31,1938-04-25,Judicial Power,Lawsuits Between\\Citizens of Different States,No Legal Provision,"miscellaneous judicial power, especially diversity jurisdiction",,,"""Except in matters governed by the Federal Constitution or by Acts of Congress, the law to be applied in any case is the law of the State.""",Justice Louis Brandeis,"https://lonedissent.org/briefs/featured/erie-railroad-co-v-tompkins",,,,"https://www.oyez.org/cases/1900-1940/304us64","https://en.wikipedia.org/wiki/Erie_Railroad_Co._v._Tompkins",,,"Charles Hughes,Louis Brandeis,Harlan Stone,Owen Roberts,Hugo Black,Stanley Reed","67,62,73,74,76,77","James McReynolds,Pierce Butler",Benjamin Cardozo
172,,,,,,Missouri,Canada,,petitioner,October Term 1938,57,,1938-018,305 U.S. 337,,,,Charles Hughes,6,2,1938-11-09,1938-12-12,Civil Rights,,No Legal Provision,"desegregation, schools",,,,,"https://lonedissent.org/briefs/featured/state-of-missouri-ex-rel-gaines-v-canada",,,,"https://www.oyez.org/cases/1900-1940/305us337","https://en.wikipedia.org/wiki/Missouri_ex_rel._Gaines_v._Canada",,,"Charles Hughes,Louis Brandeis,Harlan Stone,Owen Roberts,Hugo Black,Stanley Reed","62,67,73,74,76,77","James McReynolds,Pierce Butler",
173,,,,,,Graves,People of State of New York,,respondent,October Term 1938,478,,1938-136,306 U.S. 466,36,,,Harlan Stone,6,2,1939-03-06,1939-03-27,Federalism,,"Article VI, Section 2 (supremacy clause)","national supremacy: intergovernmental tax immunity",,,,,"https://lonedissent.org/briefs/featured/graves-v-people-of-state-of-new-york",,,,,,,,"Charles Hughes,Harlan Stone,Owen Roberts,Hugo Black,Stanley Reed,Felix Frankfurter","73,62,74,76,77,78","James McReynolds,Pierce Butler",
174,,,,,,Mulford,Smith,,respondent,October Term 1938,505,,1938-050,307 U.S. 38,,,,Owen Roberts,6,2,1939-03-08,1939-04-17,Economic Activity,,Infrequently litigated statutes,miscellaneous economic regulation,,,,,"https://lonedissent.org/briefs/featured/mulford-v-smith",,,,"https://www.oyez.org/cases/1900-1940/307us38",,,,"Charles Hughes,Harlan Stone,Owen Roberts,Hugo Black,Stanley Reed,Felix Frankfurter","74,62,73,76,77,78","James McReynolds,Pierce Butler",William Douglas
175,062,60,"2,6",2,,United States,Miller,,petitioner,October Term 1938,696,,1938-068,307 U.S. 174,,148,,James McReynolds,8,0,1939-03-30,1939-05-15,Criminal Procedure,National Firearms Act of 1934,2nd Amendment,"statutory construction of criminal laws: firearms",,,"""In the absence of any evidence [that a shotgun] has some reasonable relationship to the preservation or efficiency of a well regulated militia, we cannot say that the Second Amendment guarantees the right to keep and bear such an instrument.""",Justice James McReynolds,,,,,"https://www.oyez.org/cases/1900-1940/307us174","https://en.wikipedia.org/wiki/United_States_v._Miller",,,"Charles Hughes,James McReynolds,Pierce Butler,Harlan Stone,Owen Roberts,Hugo Black,Stanley Reed,Felix Frankfurter","66,62,71,73,74,76,77,78",,William Douglas
176,,,,,,Coleman,Miller,,respondent,October Term 1938,7,,1938-044,307 U.S. 433,36,,,Charles Hughes,7,2,1938-10-10,1939-06-05,Judicial Power,,"Article III, Section 2, Paragraph 1 (case or controversy requirement)","standing to sue: justiciable question",,,,,"https://lonedissent.org/briefs/featured/coleman-v-miller",,,,"https://www.oyez.org/cases/1900-1940/307us433","https://en.wikipedia.org/wiki/Coleman_v._Miller",,,"Charles Hughes,Harlan Stone,Owen Roberts,Hugo Black,Stanley Reed,Felix Frankfurter,William Douglas","62,73,74,76,77,78,79","James McReynolds,Pierce Butler",
177,N,,,,,Hague,Committee for Industrial Organization,,respondent,October Term 1938,651,,1938-045,307 U.S. 496,36,,,Owen Roberts,5,2,1939-02-27,1939-06-05,First Amendment,,14th Amendment (due process),"1st Amendment, miscellaneous (cf. comity: First Amendment)",,,,,,,,,,,,,"Charles Hughes,Harlan Stone,Owen Roberts,Hugo Black,Stanley Reed",,"James McReynolds,Pierce Butler","Felix Frankfurter,William Douglas"
178,,,,,,Chambers,Florida,,petitioner,October Term 1939,195,,1939-138,309 U.S. 227,,,,Hugo Black,8,0,1940-01-04,1940-02-12,Criminal Procedure,,14th Amendment (due process),involuntary confession,,,,,,,,,,,,,"Charles Hughes,James McReynolds,Harlan Stone,Owen Roberts,Hugo Black,Stanley Reed,Felix Frankfurter,William Douglas","76,62,66,73,74,77,78,79",,Frank Murphy
179,,,,,,Thornhill,Alabama,,respondent,October Term 1939,514,,1939-082,310 U.S. 88,37,,,Francis Murphy,8,1,1940-02-29,1940-04-22,First Amendment,,State or Local Law Regulation,"1st Amendment, miscellaneous (cf. comity: First Amendment)",,,,,"https://lonedissent.org/briefs/featured/thornhill-v-alabama",,,,"https://www.oyez.org/cases/1940-1955/310us88","https://en.wikipedia.org/wiki/Thornhill_v._Alabama",,,"Charles Hughes,Harlan Stone,Owen Roberts,Hugo Black,Stanley Reed,Felix Frankfurter,William Douglas,Frank Murphy","62,73,74,76,77,78,79,80",James McReynolds,
180,N,,,,,Cantwell,Connecticut,,petitioner,October Term 1939,632,,1939-124,310 U.S. 296,37,,,Owen Roberts,9,0,1940-03-29,1940-05-20,First Amendment,,No Legal Provision,free exercise of religion,,,,,,,,,,,,,"Charles Hughes,James McReynolds,Harlan Stone,Owen Roberts,Hugo Black,Stanley Reed,Felix Frankfurter,William Douglas,Frank Murphy",,,
181,,,,,,Minersville School District,Gobitis,,petitioner,October Term 1939,690,,1939-078,310 U.S. 586,37,,,Felix Frankfurter,8,1,1940-04-25,1940-06-03,First Amendment,Compulsory Pledge of Allegiance,14th Amendment (due process),free exercise of religion,,West Virginia State Board of Education v. Barnette (1943),"""We are dealing with an interest inferior to none in the hierarchy of legal values. National unity is the basis of national security.""",Justice Felix Frankfurter,"https://briefs1.lonedissent.org/1939/minersville-school-district-v-gobitis",,,,"https://www.oyez.org/cases/1940-1955/310us586","https://en.wikipedia.org/wiki/Minersville_School_District_v._Gobitis",,,"Charles Hughes,James McReynolds,Owen Roberts,Hugo Black,Stanley Reed,Felix Frankfurter,William Douglas,Frank Murphy","78,62,66,74,76,77,79,80",Harlan Stone,
